1,2-dichloroethane degradation	3.8.1.3 3.8.1.5 1.1.2.7 1.2.1.4
superpathway of ornithine degradation	4.1.1.17 2.6.1.82 1.2.1.19 3.5.1.94 1.2.1.99 1.4.3.M3 6.3.1.11
pentose phosphate pathway (oxidative branch) I	3.1.1.31 1.1.1.44 1.1.1.49
ectoine biosynthesis	1.2.1.11 2.6.1.76 2.7.2.4 4.2.1.108 2.3.1.178
TCA cycle IV (2-oxoglutarate decarboxylase)	2.3.3.16 2.3.3.1 1.1.1.37 4.2.1.2 1.3.5.1 1.2.1.79 4.1.1.71 1.1.1.42 2.3.3.9 4.1.3.1
pyruvate fermentation to propanoate I	1.1.1.37 4.2.1.2 2.1.3.1 5.1.99.1 5.4.99.2 2.8.3.- 1.3.5.4
adenine and adenosine salvage I	2.4.2.1 2.4.2.7
heterolactic fermentation	1.1.1.28 2.7.1.4 1.1.1.1 1.2.1.10 2.3.1.8 1.1.1.27 2.7.1.40 4.2.1.11 5.4.2.11 2.7.2.3 1.2.1.12 4.1.2.9 5.1.3.1 1.1.1.351 3.1.1.31 1.1.1.49 5.3.1.9 2.7.1.1 2.7.1.2
Bifidobacterium shunt	2.7.1.40 1.1.1.27 5.3.1.9 4.1.2.22 4.2.1.11 5.4.2.12 2.7.2.3 1.2.1.12 4.1.2.9 5.1.3.1 5.3.1.6 2.2.1.1 2.2.1.2 2.7.2.15 2.7.2.1 2.7.1.1 2.7.1.2
superpathway of (<i>R,R</i>)-butanediol biosynthesis	2.2.1.6 1.1.1.4 4.1.1.5 1.1.1.303
atrazine degradation I (aerobic)	3.5.4.42 3.5.4.43 3.8.1.8
pyruvate fermentation to acetate I	2.3.1.8 2.7.2.15 2.7.2.1 1.2.7.1
acetylene degradation	1.1.1.1 2.7.2.15 2.7.2.1 2.3.1.8 1.2.1.10 4.2.1.112
L-glutamate degradation V (via hydroxyglutarate)	1.4.1.2 6.2.1.13 2.3.1.16 2.3.1.9 1.1.1.35 4.2.1.150 2.8.3.1 2.8.3.8 1.3.8.1 7.2.4.e 4.2.1.167 2.8.3.12 1.1.1.399
L-lysine fermentation to acetate and butanoate	4.3.1.14 2.7.2.15 2.7.2.1 2.3.1.8 2.3.1.16 2.3.1.9 2.8.3.9 1.3.8.1 5.4.3.2 2.3.1.247 1.4.1.11 5.4.3.3
purine nucleobases degradation I (anaerobic)	3.5.4.9 3.5.2.- 2.7.2.15 2.7.2.1 1.21.4.2 1.17.1.9 3.5.1.10 4.3.1.4 2.1.2.4 3.5.4.8 3.5.1.- 3.5.4.3 1.17.1.4 1.17.1.4
superpathway of purines degradation in plants	1.7.3.3 4.3.2.3 3.5.3.4 3.5.2.5 4.1.1.97 3.5.2.17 3.5.4.17 3.5.4.6 1.17.1.4 1.17.1.4 3.2.2.2 3.1.3.99 3.1.3.5 3.2.2.1 3.1.3.5 1.1.1.205 3.1.3.5 3.5.4.3 3.2.2.1 3.5.4.15
nicotine degradation I (pyridine pathway)	1.2.1.79 2.6.1.19 1.5.3.19 1.5.3.21 3.5.1.111 1.1.1.328 1.14.13.10 3.7.1.19 1.5.99.14 1.5.99.4 1.5.99.4
catechol degradation to 2-hydroxypentadienoate I	1.13.11.2 3.7.1.9
protocatechuate degradation I (<I>meta</I>-cleavage pathway)	4.1.3.17 4.1.1.112 4.2.1.83 5.3.2.8 3.1.1.57 1.1.1.312 1.13.11.8
formaldehyde assimilation III (dihydroxyacetone cycle)	5.3.1.1 2.7.2.3 1.2.1.12 2.2.1.2 2.2.1.1 3.1.3.11 4.1.2.13 2.7.1.29 2.2.1.3 5.1.3.1 5.3.1.6 2.2.1.1
nitroglycerin degradation	4.99.1.- 4.99.1.- 4.99.1.- 4.99.1.- 4.99.1.-
sulfur disproportionation I (anaerobic)	
pentose phosphate pathway (partial)	5.1.3.1 2.2.1.1 2.2.1.1
octane oxidation	1.1.99.- 6.2.1.3 1.2.1.3 1.18.1.1 1.14.15.3
sulfide oxidation I (sulfide-quinone reductase)	1.8.5.4
dissimilatory sulfate reduction II (to thiosulfate)	1.8.99.5 2.7.7.4 1.8.99.5 1.8.99.2
reductive TCA cycle I	1.2.7.3 6.2.1.5 1.3.5.4 4.2.1.2 1.1.1.37 4.1.1.31 2.7.9.2 1.2.7.1 2.3.3.8 1.1.1.42
coenzyme B biosynthesis	2.3.3.14 1.1.1.- 4.2.1.114 4.2.1.114 4.1.3.- 1.1.1.- 4.2.1.114 4.2.1.114 4.1.3.- 1.1.1.87 1.1.1.286 4.2.1.36
coenzyme M biosynthesis I	4.1.1.79 4.4.1.19 3.1.3.71 1.1.1.337
3-phenylpropanoate degradation	1.14.13.58 3.7.1.20 5.2.1.4 1.13.11.4 1.3.1.-
nitrite oxidation	1.7.2.-
hydrogen oxidation I (aerobic)	1.12.99.6
citrate lyase activation	2.7.7.61 3.1.2.16 6.2.1.22 2.3.1.49 2.4.2.52
galena oxidation	
L-sorbose degradation	1.1.1.140 1.1.1.-
ammonia oxidation II (anaerobic)	1.7.2.7 1.7.2.8 1.7.2.1
benzoyl-CoA degradation III (anaerobic)	1.3.7.8 2.3.1.- 1.1.1.259 1.3.1.62 3.7.1.- 4.2.1.- 1.3.8.10
glycolysis V (Pyrococcus)	4.2.1.11 2.7.9.2 2.7.1.40 1.2.7.6 5.4.2.12 2.7.1.147 5.3.1.1 4.1.2.13 2.7.1.146 5.3.1.9
orcinol degradation	1.14.13.6 3.7.1.6 3.7.1.M3 1.13.11.M3
resorcinol degradation	1.3.1.32 1.13.11.37 1.14.13.219
superpathway of acrylonitrile degradation	3.5.5.7 4.2.1.84 3.5.1.4
aldoxime degradation	4.2.1.84 3.5.1.19 4.2.1.-
adenosylcobalamin biosynthesis II (aerobic)	2.5.1.61 3.1.3.73 2.7.8.26 2.7.7.62 6.3.1.10 6.3.5.10 6.6.1.2 6.3.5.9 5.4.99.61 1.3.1.54 2.1.1.152 2.1.1.133 2.1.1.131 1.14.13.83 2.1.1.130 4.2.1.75 4.2.1.24 5.4.3.8 1.2.1.70 6.1.1.17 2.7.1.177 4.1.1.81 2.7.1.26 2.4.2.21 1.13.11.79 1.5.1.39
gallate degradation III (anaerobic)	4.1.1.59 2.7.2.15 2.7.2.1 2.3.1.8 2.8.3.1 2.8.3.8 1.3.8.1 4.2.1.150 2.3.1.- 2.8.3.8 3.7.1.- 1.3.1.57 1.97.1.2
cyanide degradation	4.4.1.9
pyruvate fermentation to acetate and (<i>S</i>)-lactate I	1.2.1.M10 1.1.1.27 2.7.2.15 2.7.2.1 2.3.1.8
4-nitrotoluene degradation I	1.2.1.29 1.1.3.- 1.14.15.-
incomplete reductive TCA cycle	1.2.7.3 1.1.1.37 6.2.1.5 1.3.5.4 4.2.1.2 6.4.1.1 1.2.7.1
superpathway of <i>N</i>-acetylneuraminate degradation	5.4.2.11 2.7.2.15 2.7.2.1 2.3.1.8 1.1.1.1 1.2.1.10 2.3.1.54 2.7.1.40 2.7.9.2 4.2.1.11 3.1.3.11 5.4.2.12 2.7.2.3 1.2.1.12 5.3.1.1 4.1.2.13 2.7.1.11 3.5.99.6 3.5.1.25 5.1.3.9 2.7.1.60 4.1.3.3
hexitol fermentation to lactate, formate, ethanol and acetate	5.4.2.12 2.7.1.11 4.2.1.11 2.7.2.3 1.1.1.1 1.2.1.12 5.3.1.1 1.1.1.17 1.1.1.140 4.1.2.13 2.7.2.15 2.7.2.1 2.3.1.8 2.7.1.40 1.2.1.10 2.3.1.54 1.1.1.27 2.7.9.2 5.4.2.11 3.1.3.11
adamantanone degradation	1.14.15.- 1.14.14.108 1.14.15.- 1.14.14.108
arsonoacetate degradation	1.20.99.1
phosphonoacetate degradation	3.11.1.2
superpathway of L-lysine, L-threonine and L-methionine biosynthesis I	2.7.2.4 4.1.1.20 5.1.1.7 3.5.1.18 2.6.1.17 2.3.1.117 1.17.1.8 4.3.3.7 3.5.99.10 2.1.1.13 2.1.1.14 2.5.1.48 2.3.1.46 4.2.3.1 2.7.1.39 1.1.1.3 1.2.1.11 2.6.1.1
glycine betaine biosynthesis IV (from glycine)	2.1.1.20 2.1.1.161
choline-<i>O</i>-sulfate degradation	1.1.99.1 1.2.1.8 3.1.6.6
proline betaine degradation	5.1.1.22 1.5.3.- 1.14.13.-
<I>myo</I>-inositol degradation I	1.1.1.18 1.2.1.18 4.1.2.29 2.7.1.92 5.3.1.30 3.7.1.22 4.2.1.44
thiocyanate degradation I	3.13.1.-
(+)-camphor degradation	6.2.1.38 1.14.13.160 1.14.14.108 1.1.1.327 1.14.15.1
nylon-6 oligomer degradation	1.2.1.63 3.5.2.12 2.6.1.af 3.5.1.46 3.5.1.117 3.5.1.46 3.5.2.-
phenylmercury acetate degradation	4.99.1.2 1.16.1.1
dibenzo-<I>p</I>-dioxin degradation	3.7.1.- 1.14.12.- 1.13.11.-
dibenzofuran degradation	1.14.12.- 3.7.1.8 1.13.11.-
phosphopantothenate biosynthesis I	2.1.2.11 2.7.1.33 6.3.2.1 1.1.1.169
superpathway of coenzyme A biosynthesis I (bacteria)	2.7.7.3 2.7.1.24 4.1.1.36 6.3.2.5 4.1.1.11 2.7.1.33 6.3.2.1 1.1.1.169 2.1.2.11
parathion degradation	3.1.8.1 3.13.1.-
tetrachloroethene degradation	1.21.99.5 1.21.99.M2 1.21.99.M1 1.21.99.M1 1.21.99.5
pentachlorophenol degradation	1.14.13.50 1.3.1.32 1.3.1.32 1.8.5.7 2.5.1.18 1.8.5.7 2.5.1.18 1.1.1.404
pentose phosphate pathway	2.2.1.2 2.2.1.1 2.2.1.1 5.1.3.1 5.3.1.6 3.1.1.31 1.1.1.44 1.1.1.49
peptidoglycan biosynthesis I (<I>meso</I>-diaminopimelate containing)	2.4.1.227 2.7.8.13 2.5.1.7 6.3.2.10 6.3.2.13 6.3.2.9 6.3.2.8 1.3.1.98 5.1.1.3 6.3.2.4
phenol degradation II (anaerobic)	1.3.7.9 6.2.1.27
L-phenylalanine degradation I (aerobic)	4.2.1.96 1.14.16.1 1.5.1.-
L-phenylalanine biosynthesis I	4.2.1.51 5.4.99.5 2.6.1.1 2.6.1.57 2.6.1.27
superpathway of phospholipid biosynthesis II (plants)	2.7.8.11 2.7.8.29 4.1.1.65 2.7.8.8 2.7.7.41 3.1.3.27 2.7.8.5 1.1.1.94 2.3.1.51 2.3.1.15 2.3.1.51 2.3.1.15 2.7.7.- 2.1.1.71 2.7.8.- 2.1.1.103 2.1.1.71 2.7.8.- 2.7.7.57 2.7.8.2 2.7.7.15 2.1.1.103 2.1.1.103 2.7.1.32 2.7.1.82 2.7.8.1 2.7.7.14 4.1.1.-
superpathway of phospholipid biosynthesis I (bacteria)	2.7.8.8 4.1.1.65 2.3.1.51 2.7.8.- 3.1.3.27 2.7.8.5 2.7.7.41 2.3.1.15 2.3.1.51 2.3.1.15 1.1.1.94
2-aminoethylphosphonate degradation I	1.2.1.10 3.11.1.1 2.6.1.37
oxygenic photosynthesis	4.1.2.13 5.3.1.6 2.2.1.1 3.1.3.37 4.1.2.- 5.3.1.1 1.2.1.13 2.7.2.3 4.1.1.39 2.7.1.19 5.1.3.1 2.2.1.1 3.1.3.11 1.10.3.9 1.18.1.2 7.1.1.6 1.97.1.12
pyridoxal 5'-phosphate salvage I	1.4.3.5 2.7.1.35 1.4.3.5 2.7.1.35 2.7.1.35
superpathway of polyamine biosynthesis II	4.1.1.19 3.5.3.12 2.5.1.22 2.5.1.16 3.5.1.53 4.1.1.17 4.1.1.50
superpathway of polyamine biosynthesis I	3.5.3.11 2.5.1.16 4.1.1.17 4.1.1.50 2.5.1.- 4.1.1.18 4.1.1.19
polyisoprenoid biosynthesis (<i>E. coli</i>)	2.5.1.10 2.5.1.90 3.6.1.27 2.5.1.31 5.3.3.2 2.5.1.1
ppGpp biosynthesis	2.7.4.6 3.1.7.2 2.7.6.5 3.1.7.2 3.6.1.40 2.7.6.5
L-alanine fermentation to propanoate and acetate	4.2.1.54 2.8.3.1 1.3.1.95 1.2.7.1 2.7.2.15 2.7.2.1 2.3.1.8 1.4.1.2 2.8.3.1 1.1.1.28 2.6.1.2
propanoyl CoA degradation I	6.4.1.3 5.1.99.1 5.4.99.2
L-proline biosynthesis I	2.7.2.11 1.5.1.2 1.2.1.41
protocatechuate degradation II (ortho-cleavage pathway)	5.5.1.2 3.1.1.24 4.1.1.44 1.13.11.3
L-proline degradation	1.5.5.2 1.2.1.88
superpathway of histidine, purine, and pyrimidine biosynthesis	2.4.2.17 1.1.98.6 2.7.4.6 1.17.4.1 1.17.4.1 2.7.4.3 4.3.2.2 6.3.4.4 1.1.98.6 2.7.4.6 1.17.4.1 1.17.4.1 2.7.4.6 2.7.4.8 6.3.5.2 1.1.1.205 3.5.4.10 2.1.2.3 3.1.3.15 2.6.1.9 4.2.1.19 4.3.2.10 5.3.1.16 3.5.4.19 3.6.1.31 2.4.2.14 4.3.2.2 6.3.2.6 5.4.99.18 6.3.4.18 6.3.3.1 6.3.5.3 2.1.2.- 6.3.4.13 6.3.5.5 6.3.4.2 2.7.4.6 2.7.4.22 2.7.4.14 4.1.1.23 2.4.2.10 1.3.5.2 3.5.2.3 2.1.3.2 2.7.6.1
putrescine degradation I	1.2.1.19
L-alanine biosynthesis III	
superpathway of L-alanine biosynthesis	5.1.1.1 2.6.1.66 2.6.1.2 2.6.1.42
trehalose degradation II (cytosolic)	2.7.1.1 2.7.1.2 3.2.1.28
putrescine degradation II	3.5.1.94 1.2.1.99 1.4.3.M3 6.3.1.11
ADP-L-<i>glycero</i>-&beta;-D-<i>manno</i>-heptose biosynthesis	2.7.1.167 5.1.3.20 2.7.7.70 3.1.3.82 5.3.1.28
anhydromuropeptides recycling I	5.4.2.10 6.3.2.45 1.3.1.98 2.5.1.7 2.7.7.23 2.3.1.157 3.4.17.13 3.5.1.25 4.2.1.126 2.7.1.170 3.2.1.52 3.5.1.28
biotin-carboxyl carrier protein assembly	6.3.4.14 2.1.3.15 6.3.4.15
lipoate biosynthesis and incorporation II	6.3.1.20 2.8.1.8
3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation	1.13.11.16 1.2.1.10 4.1.3.39 4.2.1.80 3.7.1.14 1.14.13.127 1.3.1.87 1.14.12.19
ethylene glycol degradation	1.2.1.21 1.1.1.77
pyrimidine ribonucleosides degradation	2.4.2.2 2.4.2.3 3.5.4.5
purine ribonucleosides degradation	2.4.2.1 5.4.2.7 2.4.2.1 2.4.2.15 2.4.2.1 2.4.2.1 3.5.4.4
superpathway of purine deoxyribonucleosides degradation	3.5.4.4 1.2.1.10 4.1.2.4 5.4.2.7 2.4.2.1 2.4.2.1 2.4.2.1
superpathway of pyrimidine deoxyribonucleosides degradation	1.2.1.10 3.5.4.5 2.4.2.3 2.4.2.2 2.4.2.2 2.4.2.4 5.4.2.7 4.1.2.4
arginine dependent acid resistance	4.1.1.19
2-<I>O</I>-&alpha;-mannosyl-D-glycerate degradation	2.7.1.165 3.2.1.170
melibiose degradation	3.2.1.22
aminopropylcadaverine biosynthesis	4.1.1.18 2.5.1.-
L-glutamate degradation IX (via 4-aminobutanoate)	4.1.1.15
L-galactonate degradation	1.1.1.414
chitobiose degradation	3.5.1.105 3.2.1.86
acetate and ATP formation from acetyl-CoA I	2.3.1.8 2.7.2.15 2.7.2.1
acetate conversion to acetyl-CoA	6.2.1.1
fructose degradation	2.7.1.56
L-lactaldehyde degradation (anaerobic)	1.1.1.77
L-lactaldehyde degradation (aerobic)	1.2.1.22
CDP-diacylglycerol biosynthesis II	2.3.1.51 2.7.7.41 2.3.1.15 1.1.1.94
nitrate reduction III (dissimilatory)	1.17.5.3 1.7.5.1
<i>N</i>-acetylneuraminate and <i>N</i>-acetylmannosamine degradation I	4.1.3.3 5.1.3.9 2.7.1.60
superpathway of L-asparagine biosynthesis	6.3.5.4 6.3.1.1
succinate to cytochrome <i>bo</i> oxidase electron transfer	7.1.1.3 1.3.5.1
NADH to cytochrome <i>bd</i> oxidase electron transfer I	7.1.1.2 7.1.1.7
NADH to cytochrome <i>bo</i> oxidase electron transfer I	7.1.1.2 7.1.1.3
NADH to fumarate electron transfer	1.6.5.- 1.3.5.4
oleate &beta;-oxidation	5.3.3.8 3.1.2.- 4.2.1.17
polymyxin resistance	2.4.2.43 2.4.2.53 2.1.2.13 2.6.1.92 2.6.1.87 1.1.1.305
NADH to trimethylamine <i>N</i>-oxide electron transfer	1.6.5.-
NADH to dimethyl sulfoxide electron transfer	1.8.5.3 1.6.5.-
nitrate reduction VIII (dissimilatory)	1.7.5.1 1.6.5.-
succinate to cytochrome <i>bd</i> oxidase electron transfer	1.3.5.1 7.1.1.7
formate to trimethylamine <i>N</i>-oxide electron transfer	1.17.5.3
formate to dimethyl sulfoxide electron transfer	1.17.5.3 1.8.5.3
<i>S</i>-methyl-5'-thioadenosine degradation IV	3.2.2.16
superpathway of heme <i>b</i> biosynthesis from uroporphyrinogen-III	4.1.1.37 1.3.5.3 4.99.1.1 1.3.3.4 1.3.3.3 1.3.98.3
tetrahydromonapterin biosynthesis	1.5.1.50 3.5.4.16 5.1.99.7
D-malate degradation	1.1.1.83
trehalose degradation VI (periplasmic)	3.2.1.28 5.1.3.3
uracil degradation III	1.1.1.298 1.14.99.46
ethanolamine utilization	1.1.1.1 4.3.1.7 1.2.1.10 2.3.1.8 2.7.2.15 2.7.2.1
tRNA processing	3.1.13.1 3.1.26.5 2.7.7.56 3.1.13.5 3.1.26.5 3.1.13.5 2.7.7.56 3.1.26.12 3.1.26.12 3.1.13.1
biotin biosynthesis from 8-amino-7-oxononanoate I	2.8.1.6 2.6.1.62 6.3.3.3
sedoheptulose bisphosphate bypass	2.7.1.- 4.1.2.-
curcumin degradation	
methylphosphonate degradation I	4.7.1.1 3.1.4.55 3.6.1.63 2.7.8.37
hydrogen sulfide biosynthesis I	2.6.1.3 4.4.1.-
D-serine degradation	3.5.99.10
proline to cytochrome <i>bo</i> oxidase electron transfer	7.1.1.3 1.5.5.2
cardiolipin biosynthesis III	2.7.8.5 3.1.3.27
muropeptide degradation	3.4.17.13 3.4.13.18 5.1.1.20
5-(carboxymethoxy)uridine biosynthesis	
glycerol-3-phosphate to cytochrome <i>bo</i> oxidase electron transfer	1.1.5.3 7.1.1.3
D-lactate to cytochrome <i>bo</i> oxidase electron transfer	1.1.5.12 7.1.1.3
NADH to cytochrome <i>bo</i> oxidase electron transfer II	1.6.5.9 7.1.1.3
NADH to cytochrome <i>bd</i> oxidase electron transfer II	7.1.1.7 1.6.5.9
autoinducer AI-2 degradation	2.7.1.189 2.3.1.245 5.3.1.32
nitrate reduction VIIIb (dissimilatory)	1.6.5.9 1.7.5.1
hydrogen to fumarate electron transfer	1.12.99.6 1.3.5.4
hydrogen to dimethyl sulfoxide electron transfer	1.12.99.6 1.8.5.3
hydrogen to trimethylamine N-oxide electron transfer	1.12.99.6
nitrate reduction IX (dissimilatory)	1.7.5.1 1.1.5.3
glycerol-3-phosphate to fumarate electron transfer	1.3.5.4 1.1.5.3
nitrate reduction X (dissimilatory, periplasmic)	1.1.5.3 1.9.6.1 7.1.1.8
formate to nitrite electron transfer	1.17.5.3 1.7.2.2 7.1.1.8
peptidoglycan maturation (<i>meso</i>-diaminopimelate containing)	3.4.16.4 3.4.17.13 2.4.1.129 3.4.16.4
N<sup>6</sup>-L-threonylcarbamoyladenosine<sup>37</sup>-modified tRNA biosynthesis	2.3.1.234 2.7.7.87
NADH to hydrogen peroxide electron transfer	1.6.5.- 1.11.1.-
glycerol-3-phosphate to hydrogen peroxide electron transport	1.1.5.3 1.11.1.-
prenylated FMNH<sub>2</sub> biosynthesis	2.5.1.129
periplasmic disulfide bond formation	1.8.4.M3
periplasmic disulfide bond reduction	
superpathway of pyrimidine ribonucleotides <i>de novo</i> biosynthesis	2.7.4.6 6.3.4.2 6.3.5.5 2.7.4.22 2.7.4.14 4.1.1.23 2.4.2.10 1.3.5.2 3.5.2.3 2.1.3.2
superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis (E. coli)	1.17.4.1 2.7.4.6 2.7.4.12 2.7.4.13 2.7.4.9 2.1.1.45 3.6.1.23 3.6.1.9 2.7.4.6 1.17.4.1 3.5.4.13 2.7.4.6 1.17.4.1 1.17.4.1 1.1.98.6 1.1.98.6 3.6.1.15
L-ascorbate degradation I (bacterial, anaerobic)	5.1.3.22 5.1.3.4 4.1.1.85 3.1.1.-
phenylacetate degradation I (aerobic)	6.2.1.30 2.3.1.174 1.2.1.91 1.1.1.35 4.2.1.17 2.3.1.223 3.3.2.12 1.14.13.149 5.3.3.18
glycerol and glycerophosphodiester degradation	3.1.4.46 2.7.1.30 1.1.5.3
allantoin degradation IV (anaerobic)	1.1.1.350 2.1.3.5 3.5.2.5 3.5.3.9 3.5.3.26 1.1.1.154
2-methylcitrate cycle I	6.2.1.17 4.1.3.30 4.2.1.99 4.2.1.79 2.3.3.5
conversion of succinate to propanoate	5.4.99.2 2.8.3.- 4.1.1.M5
D-allose degradation	5.1.3.- 2.7.1.55 5.3.1.-
L-lysine degradation I	4.1.1.18
lipoate biosynthesis and incorporation I	2.8.1.8 2.3.1.181
fructoselysine and psicoselysine degradation	2.7.1.218 5.1.3.41
lipoate salvage I	
cyclopropane fatty acid (CFA) biosynthesis	2.1.1.79
PRPP biosynthesis	2.7.6.1
aspartate superpathway	2.4.2.19 6.3.1.5 6.3.5.1 2.7.7.18 2.5.1.72 2.6.1.1 1.4.3.16 2.5.1.6 4.1.1.20 5.1.1.7 3.5.1.18 2.6.1.17 2.3.1.117 1.17.1.8 4.3.3.7 3.5.99.10 2.1.1.13 2.1.1.14 2.5.1.48 2.3.1.46 4.2.3.1 2.7.1.39 1.1.1.3 1.2.1.11 2.7.2.4
L-arginine degradation III (arginine decarboxylase/agmatinase pathway)	4.1.1.19 3.5.3.11
superpathway of pyridoxal 5'-phosphate biosynthesis and salvage	1.4.3.5 2.7.1.35 1.2.1.72 1.4.3.5 2.6.99.2 1.1.1.262 2.6.1.52 1.1.1.290 2.2.1.7 2.7.1.35 2.7.1.35
(5Z)-dodecenoate biosynthesis I	1.1.1.100 1.3.1.9 4.2.1.59 2.3.1.179 2.3.1.41 5.3.3.14 2.3.1.86 2.3.1.85 4.2.1.59
superpathway of fatty acid biosynthesis I (E. coli)	1.3.1.9 1.3.1.39 1.3.1.104 2.3.1.86 2.3.1.85 1.3.1.10 2.3.1.86 2.3.1.85 4.2.1.59 1.3.1.9 4.2.1.59 1.1.1.100 2.3.1.179 2.3.1.41 5.3.3.14 2.3.1.86 2.3.1.85 4.2.1.59 2.3.1.86 2.3.1.85 1.1.1.100 2.3.1.179 2.3.1.41 2.3.1.85 2.3.1.86 2.3.1.179 2.3.1.41 2.3.1.85 2.3.1.86 2.3.1.86 2.3.1.85 2.3.1.38 2.3.1.86 2.3.1.85 2.3.1.39 2.3.1.180 2.1.3.15 4.1.1.M15
L-selenocysteine biosynthesis I (bacteria)	2.7.9.3 2.9.1.1 6.1.1.11
taurine degradation IV	1.14.11.17
putrescine degradation III	1.4.3.4 3.5.1.63 1.2.1.3 2.3.1.57
cellulose biosynthesis	2.4.1.12
photosynthesis light reactions	7.1.1.6 1.18.1.2 1.97.1.12 1.10.3.9
gibberellin inactivation I (2&beta;-hydroxylation)	1.14.20.- 1.14.11.- 1.14.11.- 1.14.11.- 1.14.20.- 1.14.11.- 1.14.20.- 1.14.11.13 1.14.20.- 1.14.11.- 1.14.11.-
glycolysis IV (plant cytosol)	2.7.1.11 1.2.1.9 2.7.1.40 4.2.1.11 5.4.2.12 2.7.2.3 1.2.1.12 5.3.1.1 4.1.2.13 2.7.1.90
homogalacturonan biosynthesis	2.1.1.- 2.4.1.43
homogalacturonan degradation	
suberin monomers biosynthesis	4.3.1.25 4.3.1.24 6.2.1.3 3.1.2.2 2.3.1.110 2.1.1.104 6.2.1.12 6.2.1.34 2.1.1.68 1.14.14.96 1.14.14.91 1.1.1.- 1.14.14.- 1.2.1.- 1.1.1.- 3.1.2.2 1.14.14.80 1.2.1.- 1.14.14.80 6.2.1.3
lupeol biosynthesis	5.4.99.41
carbon disulfide oxidation I (anaerobic)	3.13.1.7
coniferin metabolism	3.2.1.126 2.4.1.111
L-homomethionine biosynthesis	2.3.3.17 2.6.1.- 1.1.1.- 2.6.1.88
glucosinolate biosynthesis from homomethionine	2.8.2.38 1.14.11.M9 1.14.11.M8 1.14.13.237 2.4.1.195 4.4.1.13 3.4.13.a 4.4.1.M2 3.4.19.16 1.14.14.42
taurine degradation I	2.6.1.77
taurine degradation II	1.4.99.2
CMP-3-deoxy-D-<I>manno</I>-octulosonate biosynthesis	2.5.1.55 2.7.7.38 3.1.3.45 5.3.1.13
sulfoacetaldehyde degradation I	2.3.1.8 2.3.3.15
pentaketide chromone biosynthesis	2.3.1.216
L-alanine degradation IV	1.4.1.1
phenylacetate degradation II (anaerobic)	1.17.5.1 1.2.-.- 3.1.2.25 6.2.1.30
benzoyl-CoA degradation I (aerobic)	1.14.13.208 2.3.1.174 1.1.1.35 4.2.1.17 5.3.3.- 1.2.1.77 4.1.2.44
fluorene degradation II	1.14.12.- 1.14.13.-
superpathway of tetrahydroxyxanthone biosynthesis	2.3.1.220 2.3.1.151 6.2.1.37 6.2.1.25
polyhydroxybutanoate biosynthesis	2.3.1.16 2.3.1.9 2.3.1.- 1.1.1.36
vitamin E biosynthesis (tocopherols)	1.13.11.27 5.5.1.24 2.1.1.95 2.1.1.95 5.5.1.24 2.1.1.295 2.5.1.115
<i>m</i>-xylene degradation (anaerobic)	
mandelate degradation I	1.2.1.28 1.2.1.7 5.1.2.2 1.1.99.31 4.1.1.7
superpathway of taurine degradation	2.3.1.8 2.6.1.77 1.4.99.2 1.14.11.17 2.6.1.55 2.3.3.15
plastoquinol-9 biosynthesis I	2.5.1.117 2.1.1.295 1.13.11.27
formaldehyde assimilation I (serine pathway)	4.1.1.31 4.2.1.11 5.4.2.11 2.7.1.165 1.1.1.81 2.6.1.45 2.1.2.1 2.6.1.45 4.1.3.24 6.2.1.9 1.1.1.37
methane oxidation to methanol I	1.14.13.25
methanol and methylamine oxidation to formaldehyde	1.4.9.1 1.1.2.7 1.1.2.e
formate assimilation into 5,10-methylenetetrahydrofolate	6.3.4.3 1.5.1.5 3.5.4.9
formaldehyde oxidation VI (H<sub>4</sub>MPT pathway)	4.2.1.147 1.5.1.- 3.5.4.27
indole-3-acetate inactivation IX	2.4.1.121 2.4.2.34 2.4.1.156 2.3.1.72
&beta;-alanine degradation II	1.2.1.18 2.6.1.18
superpathway of indole-3-acetate conjugate biosynthesis	6.3.-.- 6.3.-.- 6.3.-.- 6.3.-.- 6.3.-.- 6.3.-.- 6.3.-.- 2.3.1.72 2.4.2.34 2.4.1.156 2.4.1.121
formaldehyde oxidation II (glutathione-dependent)	4.4.1.22 3.1.2.12 1.1.1.284
photorespiration	2.7.1.31 2.6.1.4 2.1.2.1 1.1.1.29 2.6.1.45 1.4.1.M2 1.1.3.15 3.1.3.18 1.13.11.-
indole-3-acetate activation I	3.5.1.M7 3.5.1.M7
formaldehyde assimilation II (assimilatory RuMP Cycle)	2.7.1.11 5.3.1.6 5.1.3.1 2.2.1.1 2.2.1.2 2.2.1.1 4.1.2.13 4.1.2.43 5.3.1.27
formate oxidation to CO<sub>2</sub>	1.17.1.9
superpathway of C1 compounds oxidation to CO<sub>2</sub>	1.17.1.9 1.14.13.25 1.1.2.7 1.1.2.e 3.5.4.27 1.5.1.- 4.2.1.147 1.2.1.46 3.1.2.12 1.1.1.284 4.4.1.22 1.4.9.1
triacylsucrose biosynthesis (<i>Solanum</i>)	2.3.1.- 2.3.1.- 2.3.1.- 2.3.1.- 2.3.1.- 2.3.1.- 2.3.1.-
